rev,n,total,mean,sd
ec9e54ea949,42,30,0.71,0.59
57baa49bc3c,42,30,0.71,0.59
dd833d28ad9,46,35,0.76,0.6
99777cab2a6,46,35,0.76,0.6
9265de3d257,47,36,0.77,0.59
59704f481e7,48,36,0.75,0.6
5b284f6adf4,51,40,0.78,0.6
d62200cad43,48,36,0.75,0.6
f1e6d9be90c,51,40,0.78,0.6
485c5199b7e,52,40,0.77,0.61
5c9cb850fcf,52,40,0.77,0.61
1e5aa0effff,54,40,0.74,0.61
6e08b5cc857,54,40,0.74,0.61
6b66a766d1e,55,41,0.75,0.61
368deb5992f,55,41,0.75,0.61
d63f04ab16d,53,39,0.74,0.62
ed5e19a518e,54,39,0.72,0.62
af08ed6b665,56,49,0.88,0.8
bb35ef2f606,59,53,0.9,0.8
79bcdfb8d76,63,63,1.0,0.87
6d460aa2d6b,64,64,1.0,0.87
8803fbb593d,69,71,1.03,0.85
bdc658095c6,69,71,1.03,0.85
f512418b27d,71,71,1.0,0.86
e4b1f38c272,72,71,0.99,0.86
cd779e56e1c,71,71,1.0,0.86
926f3013c25,71,71,1.0,0.86
1c9b9b7a3b0,72,71,0.99,0.86
9a2a8612769,72,71,0.99,0.86
66fb3909a56,75,71,0.95,0.86
c1c903fb955,79,75,0.95,0.84
723104c45f8,73,72,0.99,0.85
f8ad4d2b422,76,72,0.95,0.86
0f627a65f43,77,73,0.95,0.85
0ae9ac155c2,78,74,0.95,0.85
a667c713128,83,81,0.98,0.84
2dae0e18e09,84,82,0.98,0.83
2d3b6375f38,84,82,0.98,0.83
57ac5fe99fd,88,87,0.99,0.82
cbd78922ee4,89,88,0.99,0.81
15c46555274,90,88,0.98,0.82
fa8c0c78136,95,95,1.0,0.81
7157305d5e1,93,95,1.02,0.8
c083df0570d,93,95,1.02,0.8
d6a0b8f4288,93,95,1.02,0.8
0a4222fb980,93,95,1.02,0.8
8ebfae9a077,93,95,1.02,0.8
422e43989b0,97,100,1.03,0.79
4d89322d678,97,101,1.04,0.8
cc043f32d8b,101,106,1.05,0.79
8d493019c4d,100,104,1.04,0.79
37224dc9c1e,101,105,1.04,0.78
dac7c44ab35,103,105,1.02,0.79
eacea15a215,104,106,1.02,0.78
4c1b8558df1,104,106,1.02,0.78
85974948e77,108,111,1.03,0.78
bdc42488e9b,108,111,1.03,0.78
215a01f63cc,108,111,1.03,0.78
376bec26de8,108,111,1.03,0.78
3676838dc96,112,117,1.04,0.77
5d2bd5ec3a6,113,117,1.04,0.77
724ea16c348,114,117,1.03,0.78
69ef81404c7,115,117,1.02,0.78
