entity,coupled,degree,average-revs
app/assets/stylesheets/themes/ui_color.scss,app/assets/stylesheets/themes/ui_gray.scss,100,5
app/models/issue_observer.rb,spec/models/issue_observer_spec.rb,92,7
Gemfile,Gemfile.lock,90,267
app/views/dashboard/_issues_feed.html.haml,app/views/dashboard/_merge_requests_feed.html.haml,90,11
app/views/notify/reassigned_issue_email.html.haml,app/views/notify/reassigned_merge_request_email.html.haml,90,6
db/fixtures/development/09_issues.rb,db/fixtures/development/10_merge_requests.rb,85,7
app/views/groups/issues.html.haml,app/views/groups/merge_requests.html.haml,85,7
app/views/dashboard/issues.html.haml,app/views/dashboard/merge_requests.html.haml,82,28
lib/gitlab/ldap/group.rb,lib/gitlab/ldap/person.rb,82,9
app/views/projects/_recent_commits.html.haml,app/views/projects/_recent_messages.html.haml,80,13
app/mailers/emails/issues.rb,app/mailers/emails/merge_requests.rb,76,7
app/views/help/web_hooks.html.haml,app/views/help/workflow.html.haml,71,7
features/project/forked_merge_requests.feature,features/steps/project/project_forked_merge_requests.rb,70,9
install.rb,update.rb,70,9
app/views/repositories/branches.html.haml,app/views/repositories/show.html.haml,66,12
app/assets/stylesheets/ui_basic.scss,app/assets/stylesheets/ui_mars.scss,66,12
app/views/notify/note_commit_email.html.haml,app/views/notify/note_issue_email.html.haml,66,9
app/models/project_hook.rb,app/models/system_hook.rb,66,8
app/views/notify/new_issue_email.html.haml,app/views/notify/reassigned_issue_email.html.haml,66,8
app/views/admin/logs/show.html.haml,lib/gitlab/logger.rb,66,8
app/views/notify/note_issue_email.html.haml,app/views/notify/note_wall_email.html.haml,66,8
features/projects/issues/issues.feature,features/step_definitions/project/project_issues_steps.rb,66,8
lib/api/notes.rb,spec/requests/api/notes_spec.rb,64,16
features/profile/profile.feature,features/steps/profile/profile.rb,64,13
app/assets/stylesheets/highlight/dark.scss,app/assets/stylesheets/highlight/white.scss,63,10
lib/gitlab/ldap/adapter.rb,lib/gitlab/ldap/group.rb,63,10
app/views/commits/_diff.html.haml,app/views/commits/_diff_head.html.haml,63,10
app/views/layouts/admin.html.haml,app/views/layouts/profile.html.haml,61,33
