entity,n-revs
Gemfile.lock,282
Gemfile,272
app/models/project.rb,260
app/assets/stylesheets/common.scss,235
config/routes.rb,228
app/models/user.rb,164
db/schema.rb,160
app/assets/stylesheets/projects.css.scss,144
app/helpers/application_helper.rb,136
app/controllers/projects_controller.rb,130
doc/install/installation.md,126
CHANGELOG,125
spec/models/project_spec.rb,100
app/models/merge_request.rb,99
app/controllers/application_controller.rb,95
lib/api/projects.rb,89
VERSION,85
spec/factories.rb,80
app/views/issues/show.html.haml,79
config/gitlab.yml.example,78
README.md,78
spec/requests/api/projects_spec.rb,77
app/models/note.rb,75
lib/tasks/gitlab/check.rake,74
app/views/projects/_form.html.haml,73
app/views/projects/show.html.haml,73
app/views/issues/_show.html.haml,73
app/views/issues/index.html.haml,72
doc/installation.md,71
app/models/issue.rb,69
app/controllers/merge_requests_controller.rb,69
spec/models/user_spec.rb,66
app/controllers/issues_controller.rb,65
app/models/users_project.rb,65
app/views/dashboard/index.html.haml,63
lib/api/entities.rb,62
app/views/admin/projects/show.html.haml,60
app/assets/stylesheets/style.scss,60
app/views/notes/_form.html.haml,60
app/models/repository.rb,59
app/mailers/notify.rb,59
app/controllers/dashboard_controller.rb,58
app/views/layouts/_head_panel.html.haml,58
app/helpers/projects_helper.rb,57
doc/api/projects.md,57
app/views/issues/_form.html.haml,56
app/views/admin/users/show.html.haml,56
app/controllers/commits_controller.rb,56
app/views/layouts/project.html.haml,55
app/models/key.rb,55
app/models/ability.rb,54
app/assets/javascripts/application.js,53
app/views/commits/show.html.haml,53
app/assets/stylesheets/sections/projects.scss,52
app/assets/stylesheets/main.scss,52
app/models/event.rb,52
config/initializers/1_settings.rb,51
app/assets/stylesheets/sections/commits.scss,51
app/assets/stylesheets/gitlab_bootstrap.scss,51
app/assets/stylesheets/sections/notes.scss,50
app/helpers/commits_helper.rb,50
app/views/merge_requests/show.html.haml,49
app/controllers/admin/users_controller.rb,49
app/assets/stylesheets/gitlab_bootstrap/common.scss,49
app/views/admin/projects/index.html.haml,49
app/models/commit.rb,48
app/controllers/refs_controller.rb,46
features/steps/shared/paths.rb,46
.travis.yml,45
app/controllers/groups_controller.rb,44
features/support/env.rb,43
app/controllers/admin/projects_controller.rb,43
spec/models/issue_spec.rb,42
app/views/commits/_text_file.html.haml,42
app/assets/stylesheets/sections/events.scss,42
spec/mailers/notify_spec.rb,41
app/assets/stylesheets/gitlab_bootstrap/blocks.scss,40
spec/requests/projects_spec.rb,40
app/views/milestones/show.html.haml,40
spec/spec_helper.rb,39
app/views/refs/_tree.html.haml,39
app/controllers/team_members_controller.rb,39
app/views/admin/users/index.html.haml,39
app/views/snippets/show.html.haml,38
app/views/admin/users/_form.html.haml,38
app/views/admin/projects/_form.html.haml,38
lib/gitlab/markdown.rb,38
spec/models/merge_request_spec.rb,37
app/helpers/issues_helper.rb,37
app/views/merge_requests/_form.html.haml,37
app/views/dashboard/issues.html.haml,37
app/views/wikis/show.html.haml,37
spec/models/note_spec.rb,37
app/views/help/index.html.haml,36
app/views/team_members/_show.html.haml,35
app/views/layouts/admin.html.haml,35
app/views/snippets/index.html.haml,35
app/views/layouts/application.html.haml,35
app/assets/javascripts/main.js.coffee,35
app/controllers/notes_controller.rb,35
app/views/layouts/profile.html.haml,35
app/views/projects/index.html.haml,34
spec/routing/project_routing_spec.rb,34
config/application.rb,33
app/models/milestone.rb,33
app/models/snippet.rb,33
app/views/commits/_commits.html.haml,33
spec/requests/issues_spec.rb,33
app/views/projects/new.html.haml,32
