entity,soc
app/models/project.rb,1679
config/routes.rb,1643
app/assets/stylesheets/common.scss,1422
db/schema.rb,986
app/assets/stylesheets/projects.css.scss,880
app/controllers/projects_controller.rb,861
Gemfile.lock,858
Gemfile,847
app/models/user.rb,834
spec/models/project_spec.rb,637
app/helpers/application_helper.rb,612
app/models/merge_request.rb,599
app/views/issues/index.html.haml,576
app/controllers/application_controller.rb,545
app/controllers/merge_requests_controller.rb,507
app/views/issues/_show.html.haml,493
spec/factories.rb,484
app/models/users_project.rb,478
app/models/issue.rb,464
app/controllers/issues_controller.rb,441
app/models/event.rb,420
app/views/projects/_form.html.haml,412
app/views/dashboard/index.html.haml,391
app/views/issues/show.html.haml,385
app/models/note.rb,377
spec/models/user_spec.rb,357
app/views/layouts/profile.html.haml,354
app/models/ability.rb,354
app/controllers/dashboard_controller.rb,352
app/assets/stylesheets/main.scss,348
app/views/layouts/project.html.haml,347
app/assets/stylesheets/gitlab_bootstrap.scss,347
app/views/projects/show.html.haml,344
app/views/issues/_form.html.haml,339
app/models/key.rb,338
app/views/layouts/admin.html.haml,337
app/views/layouts/_head_panel.html.haml,337
app/assets/stylesheets/sections/projects.scss,337
app/views/merge_requests/show.html.haml,333
app/views/admin/projects/show.html.haml,330
app/views/admin/projects/index.html.haml,324
app/controllers/commits_controller.rb,324
lib/api/projects.rb,304
app/models/repository.rb,298
app/views/dashboard/issues.html.haml,291
app/views/admin/users/show.html.haml,291
app/models/milestone.rb,291
app/helpers/projects_helper.rb,290
app/controllers/refs_controller.rb,289
app/assets/stylesheets/sections/notes.scss,289
app/views/layouts/application.html.haml,287
app/views/merge_requests/index.html.haml,286
app/views/commits/show.html.haml,284
app/models/commit.rb,278
app/assets/stylesheets/sections/merge_requests.scss,277
app/assets/stylesheets/style.scss,272
app/assets/javascripts/application.js,271
app/views/notes/_form.html.haml,269
app/views/projects/index.html.haml,264
features/steps/shared/paths.rb,263
app/views/milestones/show.html.haml,262
app/assets/stylesheets/gitlab_bootstrap/common.scss,261
app/views/admin/users/index.html.haml,260
spec/requests/api/projects_spec.rb,257
app/controllers/groups_controller.rb,256
app/assets/stylesheets/sections/issues.scss,252
app/views/snippets/index.html.haml,247
spec/models/merge_request_spec.rb,246
app/views/dashboard/merge_requests.html.haml,244
app/views/refs/_tree.html.haml,241
app/assets/stylesheets/sections/commits.scss,233
app/models/wiki.rb,232
app/controllers/admin/projects_controller.rb,232
app/views/merge_requests/_form.html.haml,230
config/gitlab.yml.example,228
app/mailers/notify.rb,228
features/support/env.rb,227
app/models/snippet.rb,226
app/views/repositories/tags.html.haml,225
spec/requests/projects_spec.rb,224
app/views/admin/projects/_form.html.haml,223
spec/models/note_spec.rb,221
app/controllers/team_members_controller.rb,220
app/views/issues/_issues.html.haml,217
app/views/hooks/index.html.haml,217
app/models/protected_branch.rb,216
app/models/group.rb,213
app/views/merge_requests/_merge_request.html.haml,210
app/controllers/admin/users_controller.rb,209
app/assets/stylesheets/gitlab_bootstrap/blocks.scss,209
spec/models/issue_spec.rb,208
app/models/namespace.rb,208
app/controllers/notes_controller.rb,208
app/views/snippets/show.html.haml,207
app/assets/stylesheets/tree.scss,206
spec/models/milestone_spec.rb,205
app/views/commits/_commits.html.haml,205
app/controllers/snippets_controller.rb,204
lib/api/entities.rb,203
spec/spec_helper.rb,201
app/views/wikis/show.html.haml,201
app/views/layouts/project_resource.html.haml,201
app/roles/repository.rb,193
app/models/web_hook.rb,193
app/views/profile/password.html.haml,192
app/views/layouts/_project_menu.html.haml,192
app/views/repositories/show.html.haml,185
app/views/dashboard/_projects_feed.html.haml,185
app/views/team_members/_show.html.haml,184
app/assets/stylesheets/top_panel.scss,183
config/initializers/1_settings.rb,180
app/views/keys/index.html.haml,180
app/views/help/index.html.haml,180
app/views/commits/index.html.haml,180
CHANGELOG,180
app/views/projects/_project_head.html.haml,178
app/views/profile/show.html.haml,176
app/views/team_members/_form.html.haml,173
app/views/admin/users/_form.html.haml,172
app/views/projects/edit.html.haml,170
app/views/repositories/_feed.html.haml,167
app/controllers/milestones_controller.rb,167
app/assets/stylesheets/sections/events.scss,167
app/views/projects/_team.html.haml,166
app/helpers/commits_helper.rb,166
app/assets/javascripts/issues.js,165
app/assets/stylesheets/gitlab_bootstrap/buttons.scss,164
app/assets/stylesheets/sections/header.scss,163
app/assets/stylesheets/gitlab_bootstrap/lists.scss,163
spec/mailers/notify_spec.rb,162
