module,revisions,code
app/models/project.rb,260,2211
config/routes.rb,228,231
app/models/user.rb,164,1622
db/schema.rb,160,1
app/helpers/application_helper.rb,136,291
app/controllers/projects_controller.rb,130,436
spec/models/project_spec.rb,100,5977
app/models/merge_request.rb,99,1420
app/controllers/application_controller.rb,95,429
lib/api/projects.rb,89,593
spec/requests/api/projects_spec.rb,77,3420
app/models/note.rb,75,464
lib/tasks/gitlab/check.rake,74,56
app/views/projects/show.html.haml,73,20
app/models/issue.rb,69,470
spec/models/user_spec.rb,66,5058
app/views/admin/projects/show.html.haml,60,186
app/models/repository.rb,59,848
app/mailers/notify.rb,59,140
app/controllers/dashboard_controller.rb,58,63
app/helpers/projects_helper.rb,57,562
app/views/admin/users/show.html.haml,56,128
app/views/layouts/project.html.haml,55,16
app/models/key.rb,55,99
app/models/ability.rb,54,88
app/models/event.rb,52,343
config/initializers/1_settings.rb,51,719
app/helpers/commits_helper.rb,50,184
app/controllers/admin/users_controller.rb,49,302
app/views/admin/projects/index.html.haml,49,23
app/models/commit.rb,48,432
app/controllers/groups_controller.rb,44,298
app/controllers/admin/projects_controller.rb,43,67
spec/models/issue_spec.rb,42,1190
spec/mailers/notify_spec.rb,41,1669
spec/spec_helper.rb,39,299
app/views/admin/users/index.html.haml,39,5
app/views/snippets/show.html.haml,38,17
app/views/admin/users/_form.html.haml,38,83
app/views/dashboard/issues.html.haml,37,20
spec/models/note_spec.rb,37,1239
spec/models/merge_request_spec.rb,37,3828
app/helpers/issues_helper.rb,37,210
app/views/help/index.html.haml,36,49
app/views/snippets/index.html.haml,35,11
app/views/layouts/profile.html.haml,35,7
app/views/layouts/application.html.haml,35,17
app/views/layouts/admin.html.haml,35,7
spec/routing/project_routing_spec.rb,34,732
app/models/snippet.rb,33,283
app/models/milestone.rb,33,152
config/application.rb,33,297
app/models/group.rb,32,689
lib/tasks/gitlab/backup.rake,32,314
app/views/projects/new.html.haml,32,33
app/models/namespace.rb,32,456
app/views/admin/groups/show.html.haml,32,117
app/views/projects/empty.html.haml,31,69
lib/api/helpers.rb,30,523
lib/api/merge_requests.rb,30,445
app/views/dashboard/merge_requests.html.haml,29,16
app/services/notification_service.rb,29,601
app/views/projects/edit.html.haml,28,91
lib/extracts_path.rb,27,46
app/workers/post_receive.rb,26,98
app/controllers/snippets_controller.rb,26,36
spec/models/milestone_spec.rb,26,459
app/controllers/admin/groups_controller.rb,24,91
lib/support/init.d/gitlab,24,401
lib/api/users.rb,24,962
app/views/search/show.html.haml,24,23
app/views/profiles/show.html.haml,24,147
app/helpers/dashboard_helper.rb,23,47
app/views/events/_event.html.haml,23,19
spec/models/key_spec.rb,23,240
spec/requests/api/users_spec.rb,22,2890
spec/requests/api/merge_requests_spec.rb,21,2615
app/views/groups/edit.html.haml,21,53
app/views/admin/groups/index.html.haml,21,16
app/models/wiki.rb,21,222
app/helpers/tree_helper.rb,20,154
app/views/admin/dashboard/index.html.haml,20,185
app/views/groups/show.html.haml,20,50
spec/models/event_spec.rb,20,809
app/helpers/events_helper.rb,20,254
spec/services/notification_service_spec.rb,19,2895
lib/api/issues.rb,19,402
app/helpers/tab_helper.rb,19,105
app/views/devise/sessions/new.html.haml,19,19
app/helpers/notes_helper.rb,18,174
app/views/events/event/_note.html.haml,18,25
app/models/tree.rb,17,50
app/models/protected_branch.rb,17,50
app/views/events/_commit.html.haml,17,5
lib/api/notes.rb,17,109
lib/gitlab/auth.rb,17,270
spec/workers/post_receive_spec.rb,16,344
app/views/layouts/devise.html.haml,16,36
lib/tasks/gitlab/info.rake,16,76
spec/models/snippet_spec.rb,16,689
app/controllers/omniauth_callbacks_controller.rb,16,220
spec/models/protected_branch_spec.rb,16,252
